role_id,permission_id,created_at,updated_at
1,lJFsnYJCnFcVPVBBUOQrmlv3b6Y2X2ZE,2019-11-14,2019-11-14
1,n5TraVIrRoioG1kqdHsIaZLYDvxO8MFD,2019-11-14,2019-11-14
1,nTSk4Y4SFKMyQmRD4ku0UCiNWIDe8OEt,2019-11-14,2019-11-14
1,W8Xmv3hiIyIpkZfJMaL9MsRxxuSIiO5R,2019-11-14,2019-11-14
1,G8aCoYYCgE8fAwegn0MvWjxMXhxIIrhy,2019-11-14,2019-11-14
1,RGMUpFAiRuv7UFoJroHP6CtvmpoFlQXl,2019-11-14,2019-11-14
1,1z9Sv2fC1ALXdM80L0QHs9c3HLDoAOO8,2019-11-14,2019-11-14
1,m0D4LIsO7V79aDueMDjgWGOmp8mPW6c0,2019-11-14,2019-11-14
1,nrPqEhq2TX0mI7qT7glaOCJ7Iqx2QtPs,2019-11-14,2019-11-14
1,QpKVz00WUbZVJMPFu3iBNGBTdMFYubQ2,2019-11-14,2019-11-14
1,v216XcAzgbt4mIjj6gZP2rdRTupXz0AO,2019-11-14,2019-11-14
1,ikhHKMMXcKSRRb4qDeIIVqxTRv5FKCS5,2019-11-14,2019-11-14
1,SALUwJ9XfPJuOnXQiFmNCJogGc9QrHJy,2019-11-14,2019-11-14
1,telxklrEV3CSL5umcrbLnua0nKPG9QCz,2019-11-14,2019-11-14
1,Wvxckw5sXBRUWY9vrqJdzocieVthJPuC,2019-11-14,2019-11-14
2,SALUwJ9XfPJuOnXQiFmNCJogGc9QrHJy,2019-11-14,2019-11-14
2,Wvxckw5sXBRUWY9vrqJdzocieVthJPuC,2019-11-14,2019-11-14
2,ikhHKMMXcKSRRb4qDeIIVqxTRv5FKCS5,2019-11-14,2019-11-14
2,telxklrEV3CSL5umcrbLnua0nKPG9QCz,2019-11-14,2019-11-14
2,IzU6Qu3pduuCe6b57BndtzKS9blSLyXL,2019-11-14,2019-11-14
3,IzU6Qu3pduuCe6b57BndtzKS9blSLyXL,2019-11-14,2019-11-14
