id,description,group,is_super,created_at,updated_at,deleted_at
1z9Sv2fC1ALXdM80L0QHs9c3HLDoAOO8,Crear Roles,SEGURIDAD/ROLES,0,03/10/2019 19:07,03/10/2019 19:07,NULL
G8aCoYYCgE8fAwegn0MvWjxMXhxIIrhy,Seleccionar Permiso,SEGURIDAD/PERMISOS,0,08/10/2019 19:57,09/10/2019 16:53,NULL
lJFsnYJCnFcVPVBBUOQrmlv3b6Y2X2ZE,Crear Usuarios,ADMIN/USUARIOS,0,03/10/2019 19:18,03/10/2019 19:18,NULL
m0D4LIsO7V79aDueMDjgWGOmp8mPW6c0,Seleccionar Rol,SEGURIDAD/ROLES,0,09/10/2019 16:51,09/10/2019 16:51,NULL
n5TraVIrRoioG1kqdHsIaZLYDvxO8MFD,Eliminar Usuarios,ADMIN/USUARIOS,0,03/10/2019 19:17,03/10/2019 19:17,NULL
nrPqEhq2TX0mI7qT7glaOCJ7Iqx2QtPs,Ver Roles,SEGURIDAD/ROLES,0,03/10/2019 19:06,03/10/2019 19:06,NULL
nTSk4Y4SFKMyQmRD4ku0UCiNWIDe8OEt,Ver Usuarios,ADMIN/USUARIOS,0,03/10/2019 19:17,03/10/2019 19:17,NULL
QpKVz00WUbZVJMPFu3iBNGBTdMFYubQ2,Eliminar Roles,SEGURIDAD/ROLES,0,03/10/2019 19:06,03/10/2019 19:06,NULL
RGMUpFAiRuv7UFoJroHP6CtvmpoFlQXl,CRUD Permisos,SEGURIDAD/PERMISOS,1,03/10/2019 19:03,07/10/2019 15:45,NULL
v216XcAzgbt4mIjj6gZP2rdRTupXz0AO,Editar Roles,SEGURIDAD/ROLES,0,03/10/2019 19:06,03/10/2019 19:06,NULL
W8Xmv3hiIyIpkZfJMaL9MsRxxuSIiO5R,Editar Usuarios,ADMIN/USUARIOS,0,03/10/2019 19:17,03/10/2019 19:17,NULL
