id,description,group,is_super,created_at,updated_at
1z9Sv2fC1ALXdM80L0QHs9c3HLDoAOO8,Crear Roles,SEGURIDAD/ROLES,0,2019-11-14,2019-11-14
G8aCoYYCgE8fAwegn0MvWjxMXhxIIrhy,Seleccionar Permiso,SEGURIDAD/PERMISOS,0,2019-11-14,2019-11-14
lJFsnYJCnFcVPVBBUOQrmlv3b6Y2X2ZE,Crear Usuarios,ADMIN/USUARIOS,0,2019-11-14,2019-11-14
m0D4LIsO7V79aDueMDjgWGOmp8mPW6c0,Seleccionar Rol,SEGURIDAD/ROLES,0,2019-11-14,2019-11-14
n5TraVIrRoioG1kqdHsIaZLYDvxO8MFD,Eliminar Usuarios,ADMIN/USUARIOS,0,2019-11-14,2019-11-14
nrPqEhq2TX0mI7qT7glaOCJ7Iqx2QtPs,Ver Roles,SEGURIDAD/ROLES,0,2019-11-14,2019-11-14
nTSk4Y4SFKMyQmRD4ku0UCiNWIDe8OEt,Ver Usuarios,ADMIN/USUARIOS,0,2019-11-14,2019-11-14
QpKVz00WUbZVJMPFu3iBNGBTdMFYubQ2,Eliminar Roles,SEGURIDAD/ROLES,0,2019-11-14,2019-11-14
RGMUpFAiRuv7UFoJroHP6CtvmpoFlQXl,CRUD Permisos,SEGURIDAD/PERMISOS,1,2019-11-14,2019-11-14
v216XcAzgbt4mIjj6gZP2rdRTupXz0AO,Editar Roles,SEGURIDAD/ROLES,0,2019-11-14,2019-11-14
W8Xmv3hiIyIpkZfJMaL9MsRxxuSIiO5R,Editar Usuarios,ADMIN/USUARIOS,0,2019-11-14,2019-11-14
Wvxckw5sXBRUWY9vrqJdzocieVthJPuC,Agregar Seguimiento,USUARIO/CLUES,0,2019-11-14,2019-11-14
SALUwJ9XfPJuOnXQiFmNCJogGc9QrHJy,Agregar Pacientes,USUARIO/CLUES,0,2019-11-14,2019-11-14
ikhHKMMXcKSRRb4qDeIIVqxTRv5FKCS5,Dar de Alta,USUARIO/CLUES,0,2019-11-14,2019-11-14
telxklrEV3CSL5umcrbLnua0nKPG9QCz,Ver Grafica,USUARIO/CLUES,0,2019-11-14,2019-11-14
IzU6Qu3pduuCe6b57BndtzKS9blSLyXL,Ver Códigos Rojos,PACIENTES/CÓDIGO-MATER,0,2019-11-14,2019-11-14
